,countries,Year,CO2 Total Mt,CO2 Kg/1k$,CO2 Tons per capita,Generation GWh,consumption GWh,consumption per capita kW,installed capacity MW,Renewable installed capacity MW,Renewable generation GWh,Renewable percentage %,Population
1,france,2019,319.613,0.1,4.88,545014.0,449235.0,6673.1,137082.0,48533.0,116141.0,21.31,67320216
2,france,2018,327.585,0.11,5.02,551544.0,449957.0,6698.0,133531.0,45874.0,115984.0,21.03,67177636
3,france,2017,336.046,0.11,5.17,533956.0,455228.0,6791.8,133088.0,42864.0,95159.0,17.82,67026224
4,france,2016,331.913,0.11,5.13,536708.0,457729.0,6851.2,133151.0,39908.0,101197.0,18.86,66809816
5,france,2015,329.518,0.11,5.11,551038.0,450835.0,6765.4,132219.0,37827.0,94122.0,17.08,66638391
6,france,2014,323.707,0.11,5.04,543299.0,441582.0,6644.5,130096.0,35580.0,96057.0,17.68,66458153
7,france,2013,356.534,0.13,5.58,551147.0,463901.0,7011.2,130050.0,33713.0,101340.0,18.39,66165980
8,france,2012,361.736,0.13,5.68,543941.0,462316.0,7047.5,130527.0,32099.0,87425.0,16.07,65600350
9,france,2011,360.566,0.13,5.69,543629.0,451021.0,6909.3,127175.0,29795.0,68177.0,12.54,65276983
10,france,2010,378.429,0.14,6.0,540153.0,474026.0,7295.1,124140.0,26724.0,79592.0,14.74,64978721
11,france,2009,370.545,0.14,5.91,507649.0,446837.0,6910.7,118941.0,24300.0,71353.0,14.06,64658856
12,france,2008,383.599,0.14,6.15,544243.0,462774.0,7191.5,117518.0,22822.0,75293.0,13.83,64350226
13,france,2007,390.312,0.14,6.3,538445.0,450019.0,7030.8,116353.0,21392.0,67421.0,12.52,64007193
14,france,2006,397.607,0.15,6.46,542979.0,447833.0,7036.4,115519.0,20494.0,63351.0,11.67,63645065
15,france,2005,407.886,0.16,6.66,544677.0,452118.0,7150.4,115559.0,19698.0,57435.0,10.54,63229635
16,france,2004,404.9,0.16,6.65,540598.0,446957.0,7120.2,116719.0,19335.0,65379.0,12.09,62772870
17,france,2003,404.552,0.16,6.68,533602.0,435439.0,6990.3,116571.0,19217.0,64326.0,12.06,62292241
18,france,2002,400.195,0.16,6.64,526142.0,418210.0,6760.2,116994.0,18940.0,65338.0,12.42,61864088
19,france,2001,405.706,0.16,6.77,519452.0,420453.0,6845.1,116149.0,18656.0,78826.0,15.17,61424036
20,france,2000,401.754,0.17,6.74,509634.0,409744.0,6719.4,114870.0,18552.0,70587.0,13.85,60979315
21,france,1999,403.731,0.17,6.81,494518.0,401221.0,6626.8,113917.0,17947.0,75546.0,15.28,60545022
22,france,1998,410.074,0.18,6.95,482398.0,393359.0,6538.7,111813.0,18024.0,64724.0,13.42,60158533
23,france,1997,388.12,0.18,6.6,476755.0,381735.0,6369.2,113380.0,18018.0,66391.0,13.93,59934884
24,france,1996,396.07,0.19,6.77,483443.0,382650.0,6406.7,109508.0,18000.0,67328.0,13.93,59726386
25,france,1995,381.247,0.18,6.55,467830.0,367839.0,6179.8,107429.0,17898.0,74902.0,16.01,59522297
26,france,1994,372.37,0.18,6.42,452950.0,363556.0,6129.2,107047.0,17902.0,80490.0,17.77,59315139
27,france,1993,377.895,0.19,6.54,447371.0,356080.0,6024.6,107393.0,17837.0,66536.0,14.87,59104320
28,france,1992,397.869,0.2,6.92,437974.0,355161.0,6031.3,105032.0,17767.0,70688.0,16.14,58885929
29,france,1991,409.187,0.21,7.15,428517.0,345386.0,5893.5,104165.0,17655.0,58607.0,13.68,58604851
30,france,1990,385.482,0.2,6.77,396184.0,323043.0,5539.8,103228.0,17717.0,54931.0,13.87,58313439
42,uk,2019,359.419,0.12,5.37,309701.0,304140.0,4537.7,103304.0,47165.0,124898.0,40.33,66647112
43,uk,2018,376.2,0.12,5.65,313504.0,306907.0,4605.0,107839.0,44291.0,114140.0,36.41,66273576
44,uk,2017,384.037,0.13,5.8,317879.0,305804.0,4614.3,108821.0,40278.0,103034.0,32.41,65844142
45,uk,2016,397.637,0.13,6.04,318009.0,309424.0,4699.3,97144.0,35648.0,87833.0,27.62,65379044
46,uk,2015,419.486,0.14,6.41,318625.0,311124.0,4758.8,95827.0,30966.0,87559.0,27.48,64853393
47,uk,2014,434.235,0.15,6.68,316064.0,309137.0,4766.7,96058.0,24935.0,66957.0,21.18,64351203
48,uk,2013,472.204,0.17,7.31,334076.0,321957.0,5003.1,92957.0,19999.0,55159.0,16.51,63905342
49,uk,2012,485.581,0.18,7.56,338603.0,322173.0,5041.4,95332.0,15858.0,43331.0,12.8,63495088
50,uk,2011,462.874,0.17,7.25,342244.0,320476.0,5047.3,93078.0,12728.0,37003.0,10.81,63022532
51,uk,2010,502.02,0.19,7.93,355193.0,330970.0,5251.6,92948.0,9524.0,27564.0,7.76,62510197
52,uk,2009,486.374,0.19,7.75,348969.0,323682.0,5178.1,86739.0,7992.0,26942.0,7.72,62042343
53,uk,2008,536.551,0.2,8.64,360668.0,343588.0,5538.0,84884.0,6859.0,23568.0,6.53,61571647
54,uk,2007,552.345,0.2,8.99,367597.0,344982.0,5602.9,83538.0,5772.0,21451.0,5.84,61073279
55,uk,2006,562.752,0.21,9.26,368400.0,348402.0,5704.7,83629.0,5173.0,20450.0,5.55,60620361
56,uk,2005,562.096,0.22,9.32,370602.0,351022.0,5790.5,82491.0,4792.0,19443.0,5.25,60182050
57,uk,2004,564.29,0.23,9.42,368692.0,343007.0,5699.5,80859.0,3872.0,16263.0,4.41,59793759
58,uk,2003,564.288,0.23,9.47,372596.0,342686.0,5731.1,78670.0,3513.0,13438.0,3.61,59501394
59,uk,2002,549.815,0.23,9.26,362381.0,339832.0,5711.3,76943.0,3116.0,13945.0,3.85,59239564
60,uk,2001,565.449,0.24,9.56,360222.0,338544.0,5714.8,79958.0,3040.0,12028.0,3.34,58999781
61,uk,2000,552.002,0.24,9.36,352537.0,335568.0,5687.6,78397.0,2685.0,10438.0,2.96,58785246
62,uk,1999,546.072,0.25,9.3,343971.0,328353.0,5585.6,74446.0,1477.0,10121.0,2.94,58579685
63,uk,1998,550.168,0.26,9.4,340083.0,322942.0,5512.9,72496.0,1475.0,9181.0,2.7,58394596
64,uk,1997,547.954,0.27,9.39,326543.0,315979.0,5411.1,72210.0,1488.0,7387.0,2.26,58239312
65,uk,1996,571.913,0.3,9.83,328457.0,315792.0,5422.3,72844.0,1455.0,6068.0,1.85,58094587
66,uk,1995,553.935,0.29,9.55,307633.0,297159.0,5115.1,69758.0,1432.0,7235.0,2.35,57943472
67,uk,1994,561.848,0.3,9.72,302355.0,287214.0,4956.8,68184.0,1425.0,7255.0,2.4,57788017
68,uk,1993,566.436,0.32,9.83,300042.0,293930.0,5086.4,68113.0,1425.0,5819.0,1.94,57649210
69,uk,1992,582.445,0.34,10.13,299641.0,292523.0,5074.2,67511.0,1423.0,6407.0,2.14,57511594
70,uk,1991,596.085,0.35,10.4,301413.0,291603.0,5070.3,70315.0,1415.0,5321.0,1.77,57338199
71,uk,1990,587.938,0.34,10.28,297670.0,284384.0,4959.8,73082.0,1110.0,5806.0,1.95,57156972
83,italy,2019,332.855,0.13,5.62,283008.0,303331.0,5085.9,115462.0,52117.0,117946.0,41.68,59641488
84,italy,2018,342.231,0.13,5.77,276287.0,302198.0,5052.1,115226.0,50564.0,116592.0,42.2,59816673
85,italy,2017,347.702,0.14,5.86,281410.0,300503.0,4968.3,114248.0,49528.0,106310.0,37.78,60483973
86,italy,2016,351.455,0.14,5.91,275928.0,294202.0,4855.7,114168.0,48641.0,110490.0,40.04,60589445
87,italy,2015,355.803,0.15,5.98,270097.0,296758.0,4891.7,116964.0,47565.0,111120.0,41.14,60665551
88,italy,2014,345.765,0.14,5.8,267184.0,291449.0,4793.9,121683.0,46672.0,122738.0,45.94,60795612
89,italy,2013,364.339,0.15,6.11,276053.0,297004.0,4886.3,124515.0,46010.0,114171.0,41.36,60782668
90,italy,2012,397.044,0.16,6.65,283821.0,305924.0,5125.6,124599.0,43824.0,94596.0,33.33,59685227
91,italy,2011,418.003,0.16,6.99,286582.0,311466.0,5244.1,118806.0,37934.0,85490.0,29.83,59394207
92,italy,2010,426.993,0.17,7.15,283835.0,307425.0,5178.6,106610.0,26607.0,79245.0,27.92,59364690
93,italy,2009,417.59,0.17,7.0,273349.0,297956.0,5033.9,101569.0,22880.0,71139.0,26.03,59190143
94,italy,2008,469.859,0.18,7.9,295932.0,315523.0,5347.8,98677.0,20183.0,60362.0,20.4,59000586
95,italy,2007,485.127,0.18,8.18,290439.0,315746.0,5383.3,93622.0,18619.0,50104.0,17.25,58652875
96,italy,2006,492.676,0.19,8.34,289735.0,314794.0,5406.6,89486.0,17630.0,52928.0,18.27,58223744
97,italy,2005,498.068,0.19,8.47,279271.0,307800.0,5301.0,85498.0,17604.0,50673.0,18.14,58064214
98,italy,2004,496.878,0.2,8.49,278252.0,303019.0,5235.8,81534.0,16959.0,55814.0,20.06,57874753
99,italy,2003,485.594,0.19,8.35,265781.0,295860.0,5145.8,78313.0,16580.0,45507.0,17.12,57495900
100,italy,2002,465.835,0.19,8.06,260568.0,291383.0,5100.3,76507.0,16009.0,49493.0,18.99,57130506
101,italy,2001,457.91,0.18,7.96,256072.0,285093.0,5002.7,76093.0,15544.0,55455.0,21.66,56987507
102,italy,2000,457.933,0.19,7.99,254004.0,279148.0,4900.7,75510.0,15204.0,51743.0,20.37,56960692
103,italy,1999,455.268,0.19,7.96,243915.0,267354.0,4696.7,72363.0,13417.0,52214.0,21.41,56923524
104,italy,1998,448.029,0.19,7.84,238669.0,260883.0,4584.2,71193.0,13058.0,47228.0,19.79,56909109
105,italy,1997,437.408,0.19,7.65,232367.0,253485.0,4454.6,69331.0,13060.0,46734.0,20.11,56904379
106,italy,1996,433.975,0.19,7.58,225575.0,246033.0,4325.8,67410.0,12999.0,46376.0,20.56,56876364
107,italy,1995,439.036,0.2,7.67,223763.0,243676.0,4286.7,65160.0,12964.0,41620.0,18.6,56844197
108,italy,1994,414.038,0.19,7.23,216413.0,236957.0,4168.5,63413.0,12864.0,48234.0,22.29,56844408
109,italy,1993,420.261,0.2,7.34,207754.0,229536.0,4038.1,62808.0,12788.0,45254.0,21.78,56842392
110,italy,1992,426.702,0.2,7.46,211296.0,229821.0,4044.6,60962.0,12718.0,45745.0,21.65,56821250
111,italy,1991,429.139,0.2,7.51,206449.0,224429.0,3953.1,57213.0,12692.0,45225.0,21.91,56772923
112,italy,1990,430.447,0.21,7.53,200811.0,219007.0,3859.6,55961.0,12582.0,34641.0,17.25,56744119
124,spain,2019,255.831,0.13,5.51,521658.0,264635.0,5591.0,110360.0,55333.0,97913.0,18.77,47353706
125,spain,2018,275.864,0.15,5.95,260982.0,268886.0,5728.7,104123.0,48656.0,100344.0,38.45,47332614
126,spain,2017,280.225,0.15,6.05,262306.0,267867.0,5741.0,104050.0,48143.0,84611.0,32.26,47105358
127,spain,2016,264.339,0.15,5.7,261836.0,264666.0,5688.4,104588.0,48061.0,101089.0,38.61,46937060
128,spain,2015,273.713,0.16,5.9,267454.0,262808.0,5659.1,105668.0,48016.0,94088.0,35.18,46728814
129,spain,2014,257.631,0.15,5.54,266512.0,257720.0,5548.4,105758.0,45868.0,107876.0,40.48,46658447
130,spain,2013,260.353,0.16,5.58,273286.0,260598.0,5602.8,105830.0,45788.0,109758.0,40.16,46532869
131,spain,2012,287.059,0.17,6.13,283119.0,266860.0,5710.9,105243.0,45101.0,85339.0,30.14,46527039
132,spain,2011,293.205,0.17,6.25,279354.0,270022.0,5767.5,102898.0,41953.0,86667.0,31.02,46449874
133,spain,2010,291.327,0.17,6.23,288527.0,275736.0,5908.6,101371.0,39545.0,95761.0,33.19,46440099
134,spain,2009,304.391,0.18,6.55,280074.0,268193.0,5769.3,97751.0,37902.0,73951.0,26.4,46410149
135,spain,2008,344.06,0.19,7.48,295894.0,281051.0,6078.2,94166.0,34835.0,60470.0,20.44,46449565
136,spain,2007,375.972,0.21,8.28,288137.0,277954.0,6086.3,88057.0,29487.0,57869.0,20.08,46455123
137,spain,2006,362.668,0.21,8.11,280296.0,251891.0,5624.5,81509.0,26712.0,52819.0,18.84,46512199
138,spain,2005,371.535,0.22,8.44,273428.0,246125.0,5592.5,76587.0,23481.0,47024.0,17.2,46593236
139,spain,2004,356.513,0.22,8.22,262328.0,235230.0,5433.0,69657.0,21848.0,53699.0,20.47,46727890
140,spain,2003,340.604,0.22,7.99,244185.0,222921.0,5239.3,71810.0,22045.0,56273.0,23.05,46766403
141,spain,2002,332.108,0.22,7.91,226021.0,212103.0,5070.9,60494.0,20913.0,34932.0,15.46,46818216
142,spain,2001,314.704,0.21,7.6,221134.0,206603.0,5034.8,55828.0,16469.0,49364.0,22.32,46736257
143,spain,2000,314.317,0.22,7.68,208742.0,193917.0,4768.6,53889.0,15184.0,36119.0,17.3,46667175
144,spain,1999,297.984,0.22,7.35,194466.0,180703.0,4465.1,49696.0,11802.0,27857.0,14.32,46562483
145,spain,1998,275.902,0.22,6.85,183533.0,168488.0,4180.5,49003.0,11537.0,37198.0,20.27,46486621
146,spain,1997,267.249,0.22,6.66,179752.0,162581.0,4050.0,47773.0,11596.0,37273.0,20.74,46367550
147,spain,1996,247.377,0.21,6.18,165187.0,150650.0,3769.0,46609.0,11793.0,41296.0,25.0,46239271
148,spain,1995,256.034,0.22,6.42,156873.0,145402.0,3652.6,45629.0,11689.0,24490.0,15.61,45983169
149,spain,1994,243.679,0.22,6.13,152877.0,139597.0,3521.6,44445.0,11545.0,28900.0,18.9,45668938
150,spain,1993,233.503,0.21,5.89,147425.0,133844.0,3392.0,43855.0,11484.0,24964.0,16.93,45236004
151,spain,1992,248.442,0.22,6.29,148172.0,133969.0,3412.0,43747.0,11484.0,19553.0,13.2,44784659
152,spain,1991,239.668,0.22,6.08,147118.0,131902.0,3377.7,43616.0,11429.0,27704.0,18.83,44360521
153,spain,1990,232.067,0.22,5.9,143675.0,129219.0,3323.4,43397.0,11320.0,25852.0,17.99,44009969
165,portugal,2019,47.829,0.13,4.66,50480.0,48931.0,4752.4,22210.0,11366.0,27514.0,54.5,10295909
166,portugal,2018,53.106,0.15,5.16,56252.0,48535.0,4722.8,21782.0,11044.0,29585.0,52.59,10276617
167,portugal,2017,56.364,0.17,5.46,55013.0,47228.0,4589.2,20934.0,10821.0,22751.0,41.36,10291027
168,portugal,2016,51.176,0.16,4.93,57103.0,47117.0,4570.3,20612.0,10751.0,32516.0,56.94,10309573
169,portugal,2015,52.24,0.16,5.01,49310.0,46682.0,4514.1,19625.0,10474.0,24626.0,49.94,10341330
170,portugal,2014,48.859,0.15,4.67,50407.0,46101.0,4443.6,19126.0,10280.0,31711.0,62.91,10374822
171,portugal,2013,48.671,0.15,4.62,48885.0,46206.0,4431.3,18900.0,9898.0,29688.0,60.73,10427301
172,portugal,2012,50.156,0.16,4.74,43688.0,46876.0,4469.8,19747.0,9710.0,19591.0,44.84,10487289
173,portugal,2011,51.82,0.16,4.88,49958.0,48681.0,4617.7,19924.0,9556.0,24319.0,48.68,10542398
174,portugal,2010,53.507,0.16,5.02,51881.0,50223.0,4750.2,18932.0,8608.0,28486.0,54.91,10572721
175,portugal,2009,58.707,0.18,5.51,47341.0,48325.0,4570.4,17403.0,7950.0,18506.0,39.09,10573479
176,portugal,2008,59.493,0.17,5.59,43429.0,48676.0,4608.2,15766.0,7336.0,14860.0,34.22,10563014
177,portugal,2007,61.639,0.18,5.8,44788.0,49096.0,4652.2,15003.0,6645.0,16403.0,36.62,10553339
178,portugal,2006,63.148,0.19,5.96,46275.0,48030.0,4560.1,14447.0,6080.0,15918.0,34.4,10532588
179,portugal,2005,68.146,0.21,6.45,43703.0,46315.0,4405.9,13374.0,5410.0,8518.0,19.49,10511988
180,portugal,2004,64.846,0.2,6.16,42663.0,45087.0,4296.2,12692.0,4847.0,12483.0,29.26,10494672
181,portugal,2003,63.084,0.2,6.02,44498.0,43411.0,4145.0,11616.0,4549.0,17824.0,40.06,10473050
182,portugal,2002,67.993,0.21,6.51,43220.0,41617.0,3984.5,11236.0,4476.0,9916.0,22.94,10444592
183,portugal,2001,63.823,0.2,6.14,44074.0,40256.0,3872.7,10991.0,4362.0,15856.0,35.98,10394669
184,portugal,2000,64.531,0.21,6.23,41278.0,38560.0,3732.6,10908.0,4300.0,13012.0,31.52,10330774
185,portugal,1999,64.947,0.22,6.3,40670.0,36159.0,3528.0,10405.0,3930.0,8655.0,21.28,10249022
186,portugal,1998,58.273,0.2,5.67,37267.0,34302.0,3367.4,9572.0,3940.0,14023.0,37.63,10186634
187,portugal,1997,53.672,0.19,5.25,32783.0,32489.0,3206.0,9274.0,3877.0,14101.0,43.01,10133758
188,portugal,1996,51.292,0.19,5.03,33118.0,30754.0,3049.7,9220.0,3867.0,15644.0,47.24,10084196
189,portugal,1995,53.257,0.21,5.25,31597.0,29226.0,2909.9,9152.0,3848.0,9307.0,29.46,10043693
190,portugal,1994,49.745,0.2,4.92,30030.0,27389.0,2736.5,8618.0,3697.0,11536.0,38.41,10008659
191,portugal,1993,48.173,0.2,4.79,29544.0,26271.0,2633.9,8513.0,3613.0,9370.0,31.72,9974391
192,portugal,1992,49.255,0.2,4.92,27983.0,25920.0,2603.7,8013.0,3146.0,5491.0,19.62,9954958
193,portugal,1991,45.46,0.19,4.56,28398.0,25189.0,2531.6,7284.0,2772.0,9767.0,34.39,9950029
194,portugal,1990,43.612,0.19,4.38,27090.0,23965.0,2403.6,7234.0,2783.0,9760.0,36.03,9970441
206,poland,2019,312.917,0.25,8.23,151330.0,153002.0,4030.8,41305.0,8980.0,26187.0,17.3,37958138
207,poland,2018,330.801,0.28,8.68,160445.0,157246.0,4141.0,40945.0,7926.0,22094.0,13.77,37972812
208,poland,2017,330.422,0.29,8.66,160939.0,153230.0,4034.9,41335.0,7607.0,24435.0,15.18,37976687
209,poland,2016,317.068,0.29,8.29,157227.0,149731.0,3943.1,38083.0,7507.0,23007.0,14.63,37972964
210,poland,2015,306.053,0.29,8.0,155431.0,144563.0,3807.6,37320.0,6545.0,22749.0,14.64,37967209
211,poland,2014,303.047,0.3,7.91,149777.0,141693.0,3728.2,35989.0,5263.0,19883.0,13.28,38005614
212,poland,2013,315.2,0.32,8.23,154820.0,140052.0,3683.9,35815.0,4741.0,17091.0,11.04,38017856
213,poland,2012,319.505,0.33,8.34,152719.0,138995.0,3651.8,35283.0,3719.0,16900.0,11.07,38062535
214,poland,2011,327.015,0.34,8.53,153798.0,137918.0,3623.4,34554.0,2644.0,13159.0,8.56,38063792
215,poland,2010,329.366,0.36,8.59,147970.0,134765.0,3540.6,33365.0,1809.0,10921.0,7.38,38062718
216,poland,2009,311.422,0.35,8.13,142222.0,127498.0,3353.2,33035.0,1381.0,8663.0,6.09,38022869
217,poland,2008,324.845,0.38,8.48,145466.0,132208.0,3466.8,32679.0,1176.0,6593.0,4.53,38135876
218,poland,2007,330.476,0.4,8.62,149425.0,129661.0,3401.8,32529.0,960.0,5813.0,3.89,38115641
219,poland,2006,331.114,0.43,8.64,151201.0,126194.0,3310.0,32398.0,819.0,4759.0,3.15,38125479
220,poland,2005,317.792,0.44,8.28,145879.0,120130.0,3148.3,32295.0,759.0,4311.0,2.96,38157055
221,poland,2004,318.393,0.46,8.29,143137.0,119413.0,3128.2,31918.0,656.0,3599.0,2.51,38173835
222,poland,2003,315.986,0.48,8.22,140482.0,115861.0,3033.8,31642.0,603.0,2519.0,1.79,38190608
223,poland,2002,303.459,0.47,7.89,133498.0,112030.0,2931.3,30815.0,570.0,3208.0,2.4,38218531
224,poland,2001,310.152,0.49,8.05,134555.0,113629.0,2971.3,30673.0,552.0,3082.0,2.29,38242197
225,poland,2000,313.283,0.5,8.13,133943.0,113336.0,2962.7,30559.0,525.0,2642.0,1.97,38253955
226,poland,1999,325.485,0.55,8.44,130904.0,111397.0,2911.3,30412.0,505.0,2643.0,2.02,38263303
227,poland,1998,334.879,0.59,8.69,132249.0,113445.0,2933.9,29859.0,501.0,2887.0,2.18,38666983
228,poland,1997,362.86,0.67,9.42,132447.0,113580.0,2937.9,29745.0,495.0,2546.0,1.92,38659979
229,poland,1996,371.359,0.73,9.64,132457.0,111299.0,2880.5,29513.0,492.0,2316.0,1.75,38639341
230,poland,1995,356.869,0.74,9.28,128481.0,107654.0,2788.3,29265.0,482.0,2233.0,1.74,38609399
231,poland,1994,354.2,0.79,9.23,124925.0,105022.0,2722.2,29444.0,489.0,2073.0,1.66,38580597
232,poland,1993,360.186,0.84,9.41,123521.0,104181.0,2705.7,28926.0,475.0,1838.0,1.49,38504707
233,poland,1992,360.229,0.88,9.43,122583.0,103209.0,2686.5,28456.0,468.0,1916.0,1.56,38418108
234,poland,1991,369.725,0.92,9.71,124513.0,107914.0,2816.9,28077.0,467.0,1849.0,1.48,38309226
235,poland,1990,372.613,0.86,9.82,125961.0,114361.0,2995.1,27663.0,467.0,1661.0,1.32,38183160
247,austria,2019,71.004,0.14,8.1,68676.0,68499.0,7695.6,26032.0,15514.0,55149.0,80.3,8901064
248,austria,2018,69.17,0.14,7.9,60707.0,66318.0,7486.1,26326.0,15157.0,48861.0,80.49,8858775
249,austria,2017,71.626,0.15,8.2,62930.0,66016.0,7482.9,25576.0,14660.0,49919.0,79.32,8822267
250,austria,2016,68.951,0.15,7.91,61160.0,64980.0,7406.9,25604.0,14420.0,49725.0,81.3,8772865
251,austria,2015,68.935,0.15,7.94,57552.0,64146.0,7372.7,24742.0,14023.0,46312.0,80.47,8700471
252,austria,2014,67.746,0.15,7.85,57242.0,63107.0,7351.0,24287.0,13326.0,48699.0,85.08,8584926
253,austria,2013,71.191,0.16,8.3,60128.0,63858.0,7505.9,23855.0,12869.0,49203.0,81.83,8507786
254,austria,2012,70.499,0.16,8.28,63967.0,63242.0,7482.6,23239.0,12426.0,50015.0,78.19,8451860
255,austria,2011,73.479,0.16,8.69,57731.0,62624.0,7448.0,22437.0,12146.0,39736.0,68.83,8408121
256,austria,2010,74.994,0.17,8.92,63245.0,62328.0,7442.0,21051.0,11764.0,43684.0,69.07,8375164
257,austria,2009,69.13,0.16,8.26,63583.0,60781.0,7277.7,20790.0,11609.0,47376.0,74.51,8351643
258,austria,2008,75.776,0.17,9.09,61974.0,63388.0,7605.1,20548.0,11487.0,44775.0,72.25,8335003
259,austria,2007,76.487,0.18,9.2,60173.0,63319.0,7621.5,19100.0,11423.0,43392.0,72.11,8307989
260,austria,2006,79.381,0.19,9.58,59454.0,62955.0,7600.6,19127.0,10985.0,41033.0,69.02,8282984
261,austria,2005,81.538,0.2,9.88,61303.0,60536.0,7333.9,18898.0,10492.0,40543.0,66.14,8254298
262,austria,2004,80.614,0.2,9.81,59307.0,58961.0,7189.2,18946.0,9621.0,39682.0,66.91,8201359
263,austria,2003,79.426,0.21,9.71,55505.0,57811.0,7099.8,18367.0,9315.0,35212.0,63.44,8142573
264,austria,2002,74.315,0.19,9.14,58404.0,55919.0,6903.3,18053.0,8672.0,41716.0,71.43,8100273
265,austria,2001,72.715,0.19,8.98,58937.0,55447.0,6876.2,18319.0,8765.0,42048.0,71.34,8063640
266,austria,2000,67.976,0.18,8.42,57920.0,53336.0,6649.6,17897.0,8618.0,43144.0,74.49,8020946
267,austria,1999,67.321,0.19,8.36,57615.0,52336.0,6540.2,14800.0,7669.0,42107.0,73.08,8002186
268,austria,1998,69.24,0.2,8.61,54620.0,51118.0,6403.8,14681.0,7685.0,38755.0,70.95,7982461
269,austria,1997,68.691,0.2,8.55,54272.0,50322.0,6313.0,14994.0,7540.0,37610.0,69.3,7971116
270,austria,1996,69.037,0.21,8.61,52019.0,49725.0,6243.0,14677.0,7385.0,35683.0,68.6,7964966
271,austria,1995,65.161,0.2,8.16,53733.0,47945.0,6028.5,14676.0,7323.0,38605.0,71.85,7953067
272,austria,1994,62.064,0.2,7.81,50710.0,46871.0,5900.6,14783.0,7245.0,36596.0,72.17,7943489
273,austria,1993,61.496,0.2,7.79,50088.0,46183.0,5824.8,14617.0,7202.0,37740.0,75.35,7928746
274,austria,1992,61.401,0.2,7.84,49492.0,47107.0,5976.1,14687.0,7204.0,35856.0,72.45,7882519
275,austria,1991,66.544,0.22,8.56,49507.0,47242.0,6057.5,14229.0,7129.0,32367.0,65.38,7798899
276,austria,1990,62.707,0.22,8.12,47730.0,44305.0,5745.8,14114.0,7028.0,32359.0,67.8,7710882
288,denmark,2019,30.27,0.09,5.24,29145.0,33345.0,5726.6,16561.0,9177.0,23871.0,81.9,5822763
289,denmark,2018,34.473,0.11,5.99,29838.0,32975.0,5679.3,16323.0,9100.0,21465.0,71.94,5806081
290,denmark,2017,34.559,0.11,6.03,30517.0,33402.0,5777.7,15663.0,8377.0,22520.0,73.8,5781190
291,denmark,2016,36.639,0.12,6.41,29848.0,33032.0,5746.0,15077.0,7576.0,19091.0,63.96,5748769
292,denmark,2015,34.602,0.12,6.08,28386.0,32533.0,5700.3,14796.0,7275.0,19689.0,69.36,5707251
293,denmark,2014,37.052,0.13,6.54,31376.0,32257.0,5699.5,14418.0,6912.0,18709.0,59.63,5659715
294,denmark,2013,40.787,0.14,7.23,33658.0,32826.0,5833.5,14578.0,6742.0,16682.0,49.56,5627235
295,denmark,2012,38.963,0.14,6.94,29793.0,32857.0,5864.6,14960.0,6090.0,15567.0,52.25,5602628
296,denmark,2011,44.094,0.15,7.9,34013.0,33132.0,5937.1,14248.0,5271.0,14959.0,43.98,5580516
297,denmark,2010,49.141,0.17,8.85,37321.0,33562.0,6035.6,14049.0,5065.0,13176.0,35.3,5560628
298,denmark,2009,49.022,0.18,8.87,34851.0,32820.0,5929.8,13393.0,4591.0,10855.0,31.15,5534738
299,denmark,2008,51.269,0.18,9.33,35076.0,34356.0,6233.6,13002.0,4105.0,10951.0,31.22,5511451
300,denmark,2007,54.482,0.19,9.96,37623.0,34726.0,6341.7,13000.0,3761.0,11100.0,29.5,5475791
301,denmark,2006,59.319,0.2,10.9,43476.0,34973.0,6420.5,12976.0,3962.0,10025.0,23.06,5447084
302,denmark,2005,51.421,0.18,9.48,34709.0,34551.0,6366.0,13035.0,4096.0,10628.0,30.62,5427459
303,denmark,2004,54.85,0.2,10.15,38610.0,33928.0,6269.7,12986.0,3986.0,10173.0,26.35,5411405
304,denmark,2003,60.455,0.23,11.22,43921.0,33327.0,6174.3,12917.0,3787.0,8746.0,19.91,5397640
305,denmark,2002,55.018,0.21,10.24,37362.0,33200.0,6167.0,12644.0,3446.0,7412.0,19.84,5383507
306,denmark,2001,55.412,0.21,10.34,35837.0,32887.0,6126.2,12486.0,2930.0,6438.0,17.96,5368354
307,denmark,2000,53.901,0.21,10.09,34221.0,32782.0,6128.4,12316.0,2758.0,6128.0,17.91,5349212
308,denmark,1999,57.995,0.23,10.9,36856.0,32573.0,6111.2,10069.0,11.0,4862.0,13.19,5330020
309,denmark,1998,60.96,0.25,11.5,38894.0,32281.0,6075.1,10451.0,11.0,4317.0,11.1,5313577
310,denmark,1997,65.202,0.27,12.35,41852.0,32452.0,6129.0,10414.0,10.0,3313.0,7.92,5294860
311,denmark,1996,74.972,0.32,14.27,50509.0,31911.0,6049.3,9952.0,10.0,2421.0,4.79,5275121
312,denmark,1995,61.647,0.27,11.78,34589.0,31453.0,5989.9,9876.0,10.0,2120.0,6.13,5251027
313,denmark,1994,64.775,0.3,12.43,37903.0,31391.0,6018.5,9995.0,8.0,1974.0,5.21,5215718
314,denmark,1993,60.609,0.29,11.68,32039.0,30788.0,5924.6,9679.0,10.0,1791.0,5.59,5196642
315,denmark,1992,58.414,0.28,11.3,28980.0,30492.0,5885.8,9442.0,10.0,1466.0,5.06,5180614
316,denmark,1991,64.153,0.32,12.44,34418.0,29920.0,5796.1,9112.0,10.0,1122.0,3.26,5162126
